/title/company/location
0/빅데이터·AI 기반 산업 혁신인재 양성 및 고용 [참여청년 추가 ]/재단법인 부산정보산업진흥원/부산 해운대구
1/"데이터 분석가/사이언티스트(신입/인턴 가능)"/쏘카/대한민국
2/"빅데이터, 인공지능(AI) 외 신입/경력 인턴"/스칼라웍스/대한민국
3/Engr, Apps Dev 3/KLA-Tencor/대한민국
4/Application Engineer South Korea (Physics, EE)/Zurich Instruments/부산
5/[헥스콘] 2021년 상반기 백엔드 서버 개발자/헥스콘/창원 의창구
6/디지털자산(암호화폐) 퀀트 트레이더 (경력)/네오위즈/대한민국
7/"[대구]데이터 분석 연구원 (Python/R)"/드림아이디어소프트/대구 동구
8/Engr, Tech Supp 3/KLA-Tencor/대한민국
9/데이터 분석가/스포카/부산 해운대구
10/Field Service Engineer/Nearfield Instruments/대한민국
11/"2021년 2분기 에이비엘생명보험 신입/경력/인턴 직원"/ABL생명보험/서울 영등포구
12/"[타다]데이터 분석가/사이언티스트"/쏘카/대한민국
13/DGIST 2019년 제1차 계약직원 공개채용 공고/대구경북과학기술원/대구 현풍면
14/[SK바이오사이언스] 21년 1분기 수시/에스케이바이오사이언스/성남 분당구
15/Operation Buyer(Contractor)/Edwards Korea Ltd/충청남도 천안
16/[김해 포스트코로나 청년일자리 지원 사업] 2021년 (주)디앤알팩토리 소프트웨어 엔지니어 직원/디앤알팩토리/경상남도 김해
17/[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집/Ernst & Young/대한민국
18/Field Application Engineer/Nearfield Instruments/대한민국
19/Data Scientist/Garrett Advancing Motion/경기도
20/프랭클린템플턴투신운용 Junior Trader (Quant base 필수)/프랭클린템플턴투신/대한민국
21/(광주취업맛집1위)2021년도 국비 기술교육생/대한상공회의소 광주인력개발원/광주 광산구
22/[EY컨설팅] 컨설팅본부 Data & Analytics팀 경력 컨설턴트 모집/Ernst & Young/대한민국
23/[이마트24] [Data Scientist] 경력사원 모집(Senior)/신세계/대한민국
24/"[헥스콘] 2021년 상반기 웹 및 모바일앱 UX/UI 디자이너"/헥스콘/창원 의창구
25/2021년 (신입) 전문연구요원 모집/NHN/성남 판교역
26/"[충청권/50명]인공지능(AI) 기본과정+고급과정 훈련생 대"/청주대학교산학협력단/청주 상당구
27/사내 및 서비스 보안 담당자 (경력)/네오위즈/대한민국
28/(주)바이오니아 2021년도 바이오인포메틱스 부문/바이오니아/대전 대덕구
29/"데이터 엔지니어(신입/경력)"/쏘카/대한민국
30/와이에스지(스타트업)에서 웹 개발자/와이에스지/대한민국
31/[Janssen] Data Scientist/Johnson & Johnson Family of Companies/서울
32/"[국비지원 전액무료/120명]AI(인공지능),BC(블록체인) 교육생"/고려대학교 세종캠퍼스/세종특별자치시 세종
33/"2019 Military Service Exemption Position Available at the IBS CMCM (Synthetic Organic/Polymer Chemistry OR Theoretical Study of Carbon and Related Materials)"/울산과학기술원/울산 언양읍
34/21년 IT직무 경력사원/롯데정보통신/서울 금천구
35/웹개발, 백엔드 외 경력 정규직/아이티엔제이/울산 남구
36/Data Scientist/Motion2AI/서울
37/[기업부설연구소] SW 개발 정규직/다스코포레이션/경상북도 구미
38/Perception Software Engineer - Autonomous Vehicles/NVIDIA/대한민국
39/DBA 엔지니어/쏘카/대한민국
40/글로벌 소셜카지노 부문 사업PM/네오위즈/대한민국
41/퀀트운용팀 (사원-대리급)/신한비엔피파리바자산운용/대한민국
42/2021 토스 전 계열사 대규모/비바리퍼블리카/서울 강남구
43/자산·디지털 부문 경력사원 채용/삼성생명/서울 서초동
44/금융공학연구소 신입 및 경력직원/KIS채권평가/대한민국
45/Application Engineer III - (E3)/Applied Materials Inc./대한민국
46/2021 Global Data Internship - Seoul (Korean Speaker)/Bloomberg/서울
47/[개발자] 모비데이즈 프론트엔드 개발자 경력직 채용/Mobidays/서울특별시
48/Sr Systems Administrator I/Raytheon Intelligence & Space/대한민국
49/블록체인 센터 백엔드 개발자 (경력)/네오위즈/대한민국
50/금융공학연구소 신입 및 경력직원/KIS채권평가/대한민국
51/2021 토스 전 계열사 대규모/비바리퍼블리카/서울 강남구
